ranking_date,rank,player,points
20220307,1471,121896,3
20220307,1471,207835,3
20220307,1471,127028,3
20220307,1471,123929,3
20220307,1471,210167,3
20220307,1471,206272,3
20220307,1471,208138,3
20220307,1471,200531,3
20220307,1471,210116,3
20220307,1471,210393,3
20220307,1483,209099,3
20220307,1483,208457,3
20220307,1483,144927,3
20220307,1486,208293,3
20220307,1486,205887,3
20220307,1486,208243,3
20220307,1486,209981,3
20220307,1486,207756,3
20220307,1486,207401,3
20220307,1486,207615,3
20220307,1486,209158,3
20220307,1486,126199,3
20220307,1486,210214,3
20220307,1486,106138,3
20220307,1486,202158,3
20220307,1498,208147,3
20220307,1498,200336,3
20220307,1498,111582,3
20220307,1498,144680,3
20220307,1498,209890,3
20220307,1503,209398,3
20220307,1503,206853,3
20220307,1503,126492,3
20220307,1503,207387,3
20220307,1503,122372,3
20220307,1503,104903,3
20220307,1503,207487,3
20220307,1503,202120,3
20220307,1503,104908,3
20220307,1503,208328,3
20220307,1513,208127,3
20220307,1514,208294,3
20220307,1515,132067,3
20220307,1516,103565,3
20220307,1517,207404,3
20220307,1517,209974,3
20220307,1517,200214,3
20220307,1520,127334,3
20220307,1520,208668,3
20220307,1520,144955,3
20220307,1520,210146,3
20220307,1520,209233,3
20220307,1520,202108,3
20220307,1520,111172,3
20220307,1520,208586,3
20220307,1520,208090,3
20220307,1520,133471,3
20220307,1520,208342,3
20220307,1531,106012,3
20220307,1531,106182,3
20220307,1531,206714,3
20220307,1531,206873,3
20220307,1531,209999,3
20220307,1531,134052,3
20220307,1531,127189,3
20220307,1531,200283,3
20220307,1539,200565,3
20220307,1539,209985,3
20220307,1541,123736,3
20220307,1541,106129,3
20220307,1541,122311,3
20220307,1544,106262,3
20220307,1544,208142,3
20220307,1544,209946,3
20220307,1544,125838,3
20220307,1544,209932,3
20220307,1544,200080,3
20220307,1550,206642,3
20220307,1551,105494,3
20220307,1552,202348,3
20220307,1552,209403,3
20220307,1554,205883,3
20220307,1555,134677,2
20220307,1555,200687,2
20220307,1555,209991,2
20220307,1555,208835,2
20220307,1555,208736,2
20220307,1555,124051,2
20220307,1555,202248,2
20220307,1555,134782,2
20220307,1555,208902,2
20220307,1555,105623,2
20220307,1555,104510,2
20220307,1555,104690,2
20220307,1567,208466,2
20220307,1567,105677,2
20220307,1567,208696,2
20220307,1567,134049,2
20220307,1567,200368,2
20220307,1567,103781,2
20220307,1567,210297,2
20220307,1567,134657,2
20220307,1567,200233,2
20220307,1567,103926,2
20220307,1567,210072,2
20220307,1567,208052,2
20220307,1579,133690,2
20220307,1579,206782,2
20220307,1579,122537,2
20220307,1579,210268,2
20220307,1579,209270,2
20220307,1579,134039,2
20220307,1579,207389,2
20220307,1579,210425,2
20220307,1579,208925,2
20220307,1579,202172,2
20220307,1579,120998,2
20220307,1579,210436,2
20220307,1579,210320,2
20220307,1579,206657,2
20220307,1579,111509,2
20220307,1579,200590,2
20220307,1579,105542,2
20220307,1579,207826,2
20220307,1579,208040,2
20220307,1598,207803,2
20220307,1598,210183,2
20220307,1598,202167,2
20220307,1598,110754,2
20220307,1602,106156,2
20220307,1602,207757,2
20220307,1602,105880,2
20220307,1602,207861,2
20220307,1602,207344,2
20220307,1602,106406,2
20220307,1602,200592,2
20220307,1602,208693,2
20220307,1602,210143,2
20220307,1602,111183,2
20220307,1602,202152,2
20220307,1602,208444,2
20220307,1602,210411,2
20220307,1602,207731,2
20220307,1602,103590,2
20220307,1602,144765,2
20220307,1602,133875,2
20220307,1602,207832,2
20220307,1602,202414,2
20220307,1602,207997,2
20220307,1602,105788,2
20220307,1602,209192,2
20220307,1602,134244,2
20220307,1602,208001,2
20220307,1626,209067,2
20220307,1626,208848,2
20220307,1626,207812,2
20220307,1626,207460,2
20220307,1626,209116,2
20220307,1626,208352,2
20220307,1626,200108,2
20220307,1626,210205,2
20220307,1626,144831,2
20220307,1635,208840,2
20220307,1635,124095,2
20220307,1635,208915,2
20220307,1635,124147,2
20220307,1635,208532,2
20220307,1635,117359,2
20220307,1635,210274,2
20220307,1635,208009,2
20220307,1635,210151,2
20220307,1635,202421,2
20220307,1635,202445,2
20220307,1635,133415,2
20220307,1635,123915,2
20220307,1635,209336,2
20220307,1635,208295,2
20220307,1635,207580,2
20220307,1635,121393,2
20220307,1635,209143,2
20220307,1635,144678,2
20220307,1635,126449,2
20220307,1635,200403,2
20220307,1635,131933,2
20220307,1635,133750,2
20220307,1635,122642,2
20220307,1635,126760,2
20220307,1635,125799,2
20220307,1635,209046,2
20220307,1635,208302,2
20220307,1635,204970,2
20220307,1635,208301,2
20220307,1635,210095,2
20220307,1635,105812,2
20220307,1635,140014,2
20220307,1635,200452,2
20220307,1669,210294,2
20220307,1669,209949,2
20220307,1669,210142,2
20220307,1669,144751,2
20220307,1669,126551,2
20220307,1674,207308,2
20220307,1674,127466,2
20220307,1674,207545,2
20220307,1674,130247,2
20220307,1674,128056,2
20220307,1674,200426,2
20220307,1674,208563,2
20220307,1674,124141,2
20220307,1674,210141,2
20220307,1674,206056,2
20220307,1674,106350,2
20220307,1674,208185,2
20220307,1674,209292,2
20220307,1674,206797,2
20220307,1674,208491,2
20220307,1674,209404,2
20220307,1674,138791,2
20220307,1674,105050,2
20220307,1674,207987,2
20220307,1674,200130,2
20220307,1674,209970,2
20220307,1674,200703,2
20220307,1674,208333,2
20220307,1674,210104,2
20220307,1674,200365,2
20220307,1674,210000,2
20220307,1674,207216,2
20220307,1674,210259,2
20220307,1674,209094,2
20220307,1703,200062,2
20220307,1703,209103,2
20220307,1705,144882,2
20220307,1705,209900,2
20220307,1705,206137,2
20220307,1705,207160,2
20220307,1705,127954,2
20220307,1705,133979,2
20220307,1705,121920,2
20220307,1705,126216,2
20220307,1705,208153,2
20220307,1705,209284,2
20220307,1705,133475,2
20220307,1705,209318,2
20220307,1705,111462,2
20220307,1705,207929,2
20220307,1705,207664,2
20220307,1720,126502,2
20220307,1720,138688,2
20220307,1720,110565,2
20220307,1723,144815,2
20220307,1723,202220,2
20220307,1723,125818,2
20220307,1723,208821,2
20220307,1723,207456,2
20220307,1723,106064,2
20220307,1723,207659,2
20220307,1723,208179,2
20220307,1723,106195,2
20220307,1723,104615,2
20220307,1723,209947,2
20220307,1734,209401,2
20220307,1734,127973,2
20220307,1734,207295,2
20220307,1737,144745,2
20220307,1737,202157,2
20220307,1737,126144,2
20220307,1737,209316,2
20220307,1737,132712,2
20220307,1737,132126,2
20220307,1737,144730,2
20220307,1737,116985,2
20220307,1737,205862,2
20220307,1737,145008,2
20220307,1737,125572,2
20220307,1737,210124,2
20220307,1737,200268,2
20220307,1737,208190,2
20220307,1751,208573,2
20220307,1752,122632,2
20220307,1752,206157,2
20220307,1752,127166,2
20220307,1752,207854,2
20220307,1752,208314,2
20220307,1752,206430,2
20220307,1752,200378,2
20220307,1752,105855,2
20220307,1752,205690,2
20220307,1752,207331,2
20220307,1752,209065,2
20220307,1752,126683,2
20220307,1764,207568,2
20220307,1764,202287,2
20220307,1764,202439,2
20220307,1764,202328,2
20220307,1764,105450,2
20220307,1764,127443,2
20220307,1770,105217,2
20220307,1771,200205,2
20220307,1772,208178,2
20220307,1772,200487,2
20220307,1772,207256,2
20220307,1775,126748,2
20220307,1776,206785,1
20220307,1776,144760,1
20220307,1776,133550,1
20220307,1776,205869,1
20220307,1776,210107,1
20220307,1776,208918,1
20220307,1776,210460,1
20220307,1776,126271,1
20220307,1776,200545,1
20220307,1776,210464,1
20220307,1776,200206,1
20220307,1776,209889,1
20220307,1776,111812,1
20220307,1776,208911,1
20220307,1776,209062,1
20220307,1776,209933,1
20220307,1776,127140,1
20220307,1776,210432,1
20220307,1776,210479,1
20220307,1776,210345,1
20220307,1776,134409,1
20220307,1776,210435,1
20220307,1776,210428,1
20220307,1776,209091,1
20220307,1776,210374,1
20220307,1776,207342,1
20220307,1776,122477,1
20220307,1776,107296,1
20220307,1776,210406,1
20220307,1776,208083,1
20220307,1776,208926,1
20220307,1776,209138,1
20220307,1776,134028,1
20220307,1776,210424,1
20220307,1776,134116,1
20220307,1776,210413,1
20220307,1776,104852,1
20220307,1776,210469,1
20220307,1776,200161,1
20220307,1776,210075,1
20220307,1776,207212,1
20220307,1776,132694,1
20220307,1776,209144,1
20220307,1776,210304,1
20220307,1776,105586,1
20220307,1776,121167,1
20220307,1776,210481,1
20220307,1776,209105,1
20220307,1776,210341,1
20220307,1776,210419,1
20220307,1776,137762,1
20220307,1776,105958,1
20220307,1776,210119,1
20220307,1776,210102,1
20220307,1776,208183,1
20220307,1776,202101,1
20220307,1776,209137,1
20220307,1776,133987,1
20220307,1776,200457,1
20220307,1776,209274,1
20220307,1776,132917,1
20220307,1776,106150,1
20220307,1776,209509,1
20220307,1776,209342,1
20220307,1776,208541,1
20220307,1776,200446,1
20220307,1776,200105,1
20220307,1776,210401,1
20220307,1776,210293,1
20220307,1776,200086,1
20220307,1776,210226,1
20220307,1776,131500,1
20220307,1776,126598,1
20220307,1776,134383,1
20220307,1776,209100,1
20220307,1776,210429,1
20220307,1776,210387,1
20220307,1776,206418,1
20220307,1776,144861,1
20220307,1776,121581,1
20220307,1776,210331,1
20220307,1776,110539,1
20220307,1776,136904,1
20220307,1776,208796,1
20220307,1776,209171,1
20220307,1776,121004,1
20220307,1776,209061,1
20220307,1776,110708,1
20220307,1776,134085,1
20220307,1776,201985,1
20220307,1776,207178,1
20220307,1776,210421,1
20220307,1776,209225,1
20220307,1776,210437,1
20220307,1776,133925,1
20220307,1776,200166,1
20220307,1776,209167,1
20220307,1776,126971,1
20220307,1776,207186,1
20220307,1776,210342,1
20220307,1776,210448,1
20220307,1776,104070,1
20220307,1776,206888,1
20220307,1776,105440,1
20220307,1776,111504,1
20220307,1881,210101,1
20220307,1881,126732,1
20220307,1881,202311,1
20220307,1881,208772,1
20220307,1881,205969,1
20220307,1881,207813,1
20220307,1881,210334,1
20220307,1881,208026,1
20220307,1881,122027,1
20220307,1881,209119,1
20220307,1881,200434,1
20220307,1881,132331,1
20220307,1881,210236,1
20220307,1881,104847,1
20220307,1881,206871,1
20220307,1881,202239,1
20220307,1881,209059,1
20220307,1881,207730,1
20220307,1881,208227,1
20220307,1881,209241,1
20220307,1881,208187,1
20220307,1881,207771,1
20220307,1881,144822,1
20220307,1881,210444,1
20220307,1881,200330,1
20220307,1881,209283,1
20220307,1881,209176,1
20220307,1881,200581,1
20220307,1881,208015,1
20220307,1881,210408,1
20220307,1881,136749,1
20220307,1881,209110,1
20220307,1881,210338,1
20220307,1881,133467,1
20220307,1881,207684,1
20220307,1881,207677,1
20220307,1881,208603,1
20220307,1881,206075,1
20220307,1881,208857,1
20220307,1881,133863,1
20220307,1881,206905,1
20220307,1881,202322,1
20220307,1881,208432,1
20220307,1881,209163,1
20220307,1881,210456,1
20220307,1881,207234,1
20220307,1881,137618,1
20220307,1881,119951,1
20220307,1881,210332,1
20220307,1881,105566,1
20220307,1881,210296,1
20220307,1881,105278,1
20220307,1881,207418,1
20220307,1881,210112,1
20220307,1881,207794,1
20220307,1881,206700,1
20220307,1881,210198,1
20220307,1881,208358,1
20220307,1881,202353,1
20220307,1881,209323,1
20220307,1881,122171,1
20220307,1881,132804,1
20220307,1881,144665,1
20220307,1881,210150,1
20220307,1881,209112,1
20220307,1881,138758,1
20220307,1881,210306,1
20220307,1881,207673,1
20220307,1881,208204,1
20220307,1881,202273,1
20220307,1881,208254,1
20220307,1881,207783,1
20220307,1881,122612,1
20220307,1881,207335,1
20220307,1881,210243,1
20220307,1881,210114,1
20220307,1881,209914,1
20220307,1881,210129,1
20220307,1881,207202,1
20220307,1881,205703,1
20220307,1881,210004,1
20220307,1881,200272,1
20220307,1881,210418,1
20220307,1881,105726,1
20220307,1881,207225,1
20220307,1881,208365,1
20220307,1881,210389,1
20220307,1881,105849,1
20220307,1881,202096,1
20220307,1881,111199,1
20220307,1881,105079,1
20220307,1881,207986,1
20220307,1881,106204,1
20220307,1881,209255,1
